New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,13790,,"4,510","2,955",720,295,110,430,"5,379","3,932",385,"3,110"
,13794,,25,20,0,0,5,0,27,24,0,20
,13795,,925,615,160,45,35,70,"1,111",831,55,640
,13797,,500,300,110,30,20,40,573,379,35,320
,13801,,355,230,65,20,15,25,396,274,24,230
,13802,,220,145,35,10,10,20,267,199,13,155
,13809,,395,280,55,15,20,25,478,371,20,285
,13811,,975,665,145,50,40,75,"1,177",882,57,695
,13812,,535,345,85,50,20,35,627,440,60,380
,13813,,265,175,35,20,10,25,309,228,22,190
,13814,,75,60,10,0,5,0,94,76,0,60
,13815,,"3,475","2,210",665,210,85,305,"4,003","2,854",247,"2,345"
,13826,,30,20,5,5,0,0,36,24,5,20
,13827,,"2,860","1,940",415,205,120,180,"3,584","2,687",271,"2,080"
,13830,,"1,310",880,225,75,30,100,"1,533","1,092",98,925
,13832,,145,80,35,10,5,15,158,99,9,85
,13833,,"1,035",660,200,50,45,80,"1,252",889,63,685
,13835,,325,185,80,20,10,30,379,229,27,190
,13841,,145,80,30,15,5,15,167,101,18,90
,13843,,430,290,70,25,20,25,507,380,25,310
,13844,,205,145,30,10,10,10,234,180,7,150
,13845,,45,35,5,5,0,0,61,48,5,40
,13848,,30,20,5,5,0,0,40,26,8,20
,13850,,"4,905","3,655",425,340,245,240,"6,813","5,421",481,"3,980"
,13851,,55,40,10,5,0,0,82,60,7,45
,13862,,985,620,175,70,40,80,"1,124",791,83,665
,13864,,235,165,35,10,10,15,282,214,13,175
,13865,,"1,505",970,275,100,45,115,"1,803","1,272",119,"1,020"
,13901,,"4,655","3,040",845,330,115,325,"5,573","4,034",399,"3,225"
,13902,,235,115,80,15,0,25,258,152,15,125
,13903,,"4,230","2,760",740,265,125,340,"5,285","3,870",332,"2,875"
,13904,,"2,330","1,465",480,130,70,185,"2,753","1,927",163,"1,525"
,13905,,"6,160","3,585","1,190",345,155,885,"7,144","4,798",447,"3,885"
"Bronx, East",,,"47,275","29,245","8,655","3,260","2,075","4,040","54,612","37,140","3,693","32,220"
,10461,,"8,435","5,355","1,380",615,385,700,"10,406","7,149",767,"5,975"
,10462,,"10,985","6,855","2,055",675,485,915,"12,611","8,665",762,"7,390"
,10464,,"1,160",835,145,80,30,70,"1,705","1,293",112,900
,10465,,"8,040","5,225","1,290",640,370,515,"10,488","7,246",819,"5,875"
,10472,,"8,370","4,820","1,775",550,395,830,"8,000","5,156",517,"5,300"
,10473,,"10,285","6,155","2,010",700,410,"1,010","11,402","7,631",716,"6,780"
"Bronx, Hunts Point",,,"7,525","3,895","1,810",515,345,960,"6,528","3,753",456,"4,300"
,10459,,"6,315","3,285","1,510",435,290,795,"5,504","3,179",385,"3,645"
,10474,,"1,210",610,300,80,55,165,"1,024",574,71,655
"Bronx, Laconia Avenue",,,"44,445","29,245","7,825","2,295","1,420","3,660","52,091","37,586","2,547","31,190"
