ID,applyposition,Base,Annual,signing,expected,skillset,location
1,"APPLY NOW Head of SBG Data Science Engineering at Intuit in Mountain View, CA","Base Salary$253K","Annual Bonus$86K","Signing Bonus$24K","EXPECTED $338K","You can learn valuable new skills like: Distributed Systems, Big Data, Algorithms, Data Science, Strategy, Databases and more.","Jobs in Mountain View, CA"
2,"APPLY NOW Principal Lead Data Scientist at Akamai Technologies in Santa Clara, CA","Base Salary$204K","Annual Bonus$27K","Signing Bonus$18K","EXPECTED $317K","You can learn valuable new skills like: Hadoop, Data Mining, Machine Learning, Python, Matlab, Ruby and more.","Jobs in Santa Clara, CA"
3,"APPLY NOW Principal Lead Data Scientist at Akamai Technologies in Santa Clara, CA","Base Salary$204K","Annual Bonus$27K","Signing Bonus$18K","EXPECTED $317K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, Algorithms, Machine Learning, Python and more.","Jobs in Santa Clara, CA"
4,"APPLY NOW Director, Data Scientist at Dropbox in San Francisco, CA","Base Salary$183K","Annual Bonus$0","Signing Bonus$30K","EXPECTED $289K","You can learn valuable new skills like: Data Mining, Algorithms, Machine Learning, Data Science, SQL, Analytics and more.","Jobs in San Francisco, CA"
5,"APPLY NOW Principal Data Scientist at Microsoft in Bellevue, WA","Base Salary$200K","Annual Bonus$49K","Signing Bonus$19K","EXPECTED $289K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Algorithms, MapReduce, C++ and more.","Jobs in Bellevue, WA"
6,"APPLY NOW Principal Data Scientist at Microsoft in Redmond, WA","Base Salary$198K","Annual Bonus$53K","Signing Bonus$19K","EXPECTED $287K","You can learn valuable new skills like: Algorithms, Machine Learning, C++, Python, Deep Learning, Data Science and more.","Jobs in Redmond, WA"
7,"APPLY NOW Head of Data Science and Engineering at Amazon in Seattle, WA","Base Salary$265K","Annual Bonus$0","Signing Bonus$35K","EXPECTED $265K","You can learn valuable new skills like: Product Management, Machine Learning, Data Science, Analytics, and Statistics.","Jobs in Seattle, WA"
8,"APPLY NOW Principal Data Science Engineer at OpenTable in San Francisco, CA","Base Salary$170K","Annual Bonus$46K","Signing Bonus$43K","EXPECTED $255K","You can learn valuable new skills like: Product Management, Hadoop, Software Design, Information Retrieval, Machine Learning, ETL and more.","Jobs in San Francisco, CA"
9,"APPLY NOW Sr. Principal Data Scientist (A/B Platform) at Coupang in Palo Alto, CA","Base Salary$180K","Annual Bonus$27K","Signing Bonus$16K","EXPECTED $281K","You can learn valuable new skills like: Big Data, Data Science, Statistics, Search, and Mathematics.","Jobs in Palo Alto, CA"
10,"APPLY NOW Principal Data Scientist (Fraud Protection) at Coupang in Palo Alto, CA","Base Salary$164K","Annual Bonus$27K","Signing Bonus$15K","EXPECTED $265K","You can learn valuable new skills like: Data Mining, Big Data, Algorithms, Machine Learning, Data Science, SQL and more.","Jobs in Palo Alto, CA"
11,"APPLY NOW   Principal Data Science Manager at Microsoft in Redmond, WA","Base Salary$183K","Annual Bonus$59K","Signing Bonus$19K","EXPECTED   $322K","You can learn valuable new skills like: Management, Data Science, Analytics, and Strategy.","Jobs in Redmond, WA"
12,"APPLY NOW   Data Science and Analytics Lead, Global Revenue Acceleration at Google in Mountain View, CA","Base Salary$154K","Annual Bonus$48K","Signing Bonus$24K","EXPECTED   $305K","You can learn valuable new skills like: Automation, Data Science, SQL, Strategy, and Analytics.","Jobs in Mountain View, CA"
13,"APPLY NOW   Principal Data Scientist at Microsoft in Redmond, WA","Base Salary$198K","Annual Bonus$53K","Signing Bonus$19K","EXPECTED   $287K","You can learn valuable new skills like: Data Science, Analytics, Statistics, Leadership, and Mathematics.","Jobs in Redmond, WA"
14,"APPLY NOW   Principal Data Science Engineer at Salesforce in San Francisco, CA","Base Salary$179K","Annual Bonus$24K","Signing Bonus$35K","EXPECTED   $255K","You can learn valuable new skills like: Distributed Systems, Hadoop, Data Mining, Big Data, Algorithms, Machine Learning and more.","Jobs in San Francisco, CA"
15,"APPLY NOW   Lead Data Scientist at Salesforce in San Francisco, CA","Base Salary$172K","Annual Bonus$22K","Signing Bonus$26K","EXPECTED   $257K","You can learn valuable new skills like: Hadoop, Data Mining, Information Retrieval, Algorithms, Machine Learning, C++ and more.","Jobs in San Francisco, CA"
16,"APPLY NOW   Senior Software Engineer - Bing Data and Services Infrastructure at Microsoft in Sunnyvale, CA","Base Salary$162K","Annual Bonus$36K","Signing Bonus$29K","EXPECTED   $252K","You can learn valuable new skills like: Distributed Systems, Information Retrieval, Algorithms, Architectures, Windows, Analytics and more.","Jobs in Sunnyvale, CA"
17,"APPLY NOW   Technical Program Manager - Data Science at Amazon in Seattle, WA","Base Salary$153K","Annual Bonus$26K","Signing Bonus$38K","EXPECTED   $225K","You can learn valuable new skills like: Software Design, Data Mining, Information Retrieval, Big Data, Algorithms, MapReduce and more.","Jobs in Seattle, WA"
18,"APPLY NOW   Senior Data Scientist at Microsoft in Redmond, WA","Base Salary$162K","Annual Bonus$37K","Signing Bonus$19K","EXPECTED   $232K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Machine Learning, C++ and more.","Jobs in Redmond, WA"
19,"APPLY NOW   Senior Data Scientist at OpenTable in San Francisco, CA","Base Salary$141K","Annual Bonus$39K","Signing Bonus$21K","EXPECTED   $216K","You can learn valuable new skills like: Product Management, Hadoop, Data Mining, Optimization, Machine Learning, C++ and more.","Jobs in San Francisco, CA"
20,"APPLY NOW   VP, Engineering and Data Science at ShareThis in Palo Alto, CA","Base Salary$176K","Annual Bonus$0","Signing Bonus$25K","EXPECTED   $176K","You can learn valuable new skills like: Product Management, Optimization, Big Data, Machine Learning, Data Science, Strategy and more.","Jobs in Palo Alto, CA"
21,"APPLY NOW   Manager of Data Science at Yelp in San Francisco, CA","Base Salary$166K","Annual Bonus$23K","Signing Bonus$18K","EXPECTED   $278K","You can learn valuable new skills like: Technical Leadership, Machine Learning, Python, Data Science, SQL, and Statistics.","Jobs in San Francisco, CA"
22,"APPLY NOW   Principal Data Scientist at Salesforce in San Francisco, CA","Base Salary$179K","Annual Bonus$28K","Signing Bonus$27K","EXPECTED   $256K","You can learn valuable new skills like: Algorithms, Machine Learning, Management, Python, Data Science, SQL and more.","Jobs in San Francisco, CA"
23,"APPLY NOW   Data Scientist / Quantitative Analyst Technical Lead, YouTube at Google in San Bruno, CA","Base Salary$132K","Annual Bonus$32K","Signing Bonus$32K","EXPECTED   $241K","You can learn valuable new skills like: Optimization, Machine Learning, Python, Matlab, Data Science, SQL and more.","Jobs in San Bruno, CA"
24,"APPLY NOW   Data Scientist / Quantitative Analyst Technical Lead, YouTube at Google in Mountain View, CA","Base Salary$132K","Annual Bonus$32K","Signing Bonus$32K","EXPECTED   $241K","You can learn valuable new skills like: Optimization, Machine Learning, Python, Matlab, Data Science, SQL and more.","Jobs in Mountain View, CA"
25,"APPLY NOW   Senior/Principal Data Scientist at Fitbit in San Francisco, CA","Base Salary$189K","Annual Bonus$23K","Signing Bonus$18K","EXPECTED   $244K","You can learn valuable new skills like: Data Mining, Algorithms, Machine Learning, Python, Data Science, SQL and more.","Jobs in San Francisco, CA"
26,"APPLY NOW   Principal Data Scientist Architect at SAP in Palo Alto, CA","Base Salary$172K","Annual Bonus$49K","Signing Bonus$17K","EXPECTED   $243K","You can learn valuable new skills like: Data Mining, Optimization, Algorithms, Machine Learning, C++, Management and more.","Jobs in Palo Alto, CA"
27,"APPLY NOW   Senior Data Scientist at Microsoft in Bellevue, WA","Base Salary$162K","Annual Bonus$37K","Signing Bonus$19K","EXPECTED   $232K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Algorithms, MapReduce, C++ and more.","Jobs in Bellevue, WA"
28,"APPLY NOW   Senior Software Engineer - Data Engineer at Microsoft in Redmond, WA","Base Salary$161K","Annual Bonus$36K","Signing Bonus$19K","EXPECTED   $227K","You can learn valuable new skills like: Data Mining, Optimization, Windows, Data Science, SQL, Analytics and more.","Jobs in Redmond, WA"
29,"APPLY NOW   Sr. Data Scientist (Computer Vision) at Coupang in Seattle, WA","Base Salary$133K","Annual Bonus$22K","Signing Bonus$16K","EXPECTED   $211K","You can learn valuable new skills like: Data Mining, Algorithms, Image Processing, Machine Learning, Computer Vision, C++ and more.","Jobs in Seattle, WA"
30,"APPLY NOW   Lead Data Scientist at Glassdoor in Mill Valley, CA","Base Salary$160K","Annual Bonus$18K","Signing Bonus$16K","EXPECTED   $178K","You can learn valuable new skills like: Big Data, Algorithms, Machine Learning, Data Science, Analytics, Strategy and more.","Jobs in Mill Valley, CA"
31,"APPLY NOW   Director","Base Salary$240K","Annual Bonus$45K","Signing Bonus$14K","EXPECTED   $285K","You can learn valuable new skills like: Product Management, Machine Learning, AWS, Management, Relational Databases, Scala and more.","Jobs in Vienna, VA"
32,"APPLY NOW   Data Science Manager at Lyft in San Francisco, CA","Base Salary$130K","Annual Bonus$0","Signing Bonus$28K","EXPECTED   $254K","You can learn valuable new skills like: Technical Leadership, Optimization, Algorithms, Data Science, and Statistics.","Jobs in San Francisco, CA"
33,"APPLY NOW   Data Science Manager (Seattle) at Lyft in Seattle, WA","Base Salary$130K","Annual Bonus$0","Signing Bonus$28K","EXPECTED   $254K","You can learn valuable new skills like: Technical Leadership, Optimization, Algorithms, Data Science, and Statistics.","Jobs in Seattle, WA"
34,"APPLY NOW   Senior Data Scientist at Microsoft in Redmond, WA","Base Salary$162K","Annual Bonus$37K","Signing Bonus$19K","EXPECTED   $232K","You can learn valuable new skills like: Technical Leadership, Machine Learning, Python, Data Science, SQL, C and more.","Jobs in Redmond, WA"
35,"APPLY NOW   Senior Data Scientist at Microsoft in Redmond, WA","Base Salary$161K","Annual Bonus$40K","Signing Bonus$19K","EXPECTED   $230K","You can learn valuable new skills like: Data Mining, Optimization, Big Data, Windows, User Experience, Data Science and more.","Jobs in Redmond, WA"
36,"APPLY NOW   Product Analytics Lead, Data Science at Google in Seattle, WA","Base Salary$140K","Annual Bonus$23K","Signing Bonus$24K","EXPECTED   $225K","You can learn valuable new skills like: Scalability, Product Management, Android, ETL, Matlab, Data Science and more.","Jobs in Seattle, WA"
37,"APPLY NOW   Product Analytics Lead, Data Science at Google in Mountain View, CA","Base Salary$140K","Annual Bonus$23K","Signing Bonus$24K","EXPECTED   $225K","You can learn valuable new skills like: Scalability, Product Management, Android, ETL, Matlab, Data Science and more.","Jobs in Mountain View, CA"
38,"APPLY NOW   Product Analytics Lead, Data Science at Google in San Bruno, CA","Base Salary$140K","Annual Bonus$23K","Signing Bonus$24K","EXPECTED   $225K","You can learn valuable new skills like: Scalability, Product Management, Android, ETL, Matlab, Data Science and more.","Jobs in San Bruno, CA"
39,"APPLY NOW   Data Scientist at Microsoft in Bellevue, WA","Base Salary$147K","Annual Bonus$37K","Signing Bonus$19K","EXPECTED   $217K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Algorithms, MapReduce, C++ and more.","Jobs in Bellevue, WA"
40,"APPLY NOW   Data Scientist at Coupang in Palo Alto, CA","Base Salary$120K","Annual Bonus$22K","Signing Bonus$15K","EXPECTED   $198K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, Algorithms, Machine Learning, AWS and more.","Jobs in Palo Alto, CA"
41,"APPLY NOW Data Scientist, Population and Survey Sciences at Facebook in Menlo Park, CA","Base Salary$141K","Annual Bonus$22K","Signing Bonus$42K","EXPECTED $226K","You can learn valuable new skills like: Data Mining, ETL, Relational Databases, Python, Data Science, and SQL.","Jobs in Menlo Park, CA"
42,"APPLY NOW Sr. Data Scientist at Microsoft in Redmond, WA","Base Salary$162K","Annual Bonus$40K","Signing Bonus$19K","EXPECTED $248K","You can learn valuable new skills like: Big Data, ETL, Data Science, SQL, and Analytics.","Jobs in Redmond, WA"
43,"APPLY NOW Sr. Data Scientist at Microsoft in Redmond, WA","Base Salary$162K","Annual Bonus$40K","Signing Bonus$19K","EXPECTED $248K","You can learn valuable new skills like: Big Data, ETL, Data Science, SQL, and Analytics.","Jobs in Redmond, WA"
44,"APPLY NOW Research Lead / Data Scientist at Spotify in New York, NY","Base Salary$163K","Annual Bonus$0","Signing Bonus$11K","EXPECTED $250K","You can learn valuable new skills like: Hadoop, Algorithms, Machine Learning, Python, Scala, Data Science and more.","Jobs in New York, NY"
45,"APPLY NOW Senior Data Scientist","Base Salary$162K","Annual Bonus$37K","Signing Bonus$19K","EXPECTED $232K","You can learn valuable new skills like: Optimization, Big Data, Machine Learning, Python, Data Science, SQL and more.","Jobs in Redmond, WA"
46,"APPLY NOW Data Scientist, Infrastructure at Facebook in Menlo Park, CA","Base Salary$145K","Annual Bonus$22K","Signing Bonus$42K","EXPECTED $207K","You can learn valuable new skills like: Hadoop, Optimization, Algorithms, PHP, Python, Data Science and more.","Jobs in Menlo Park, CA"
47,"APPLY NOW Data Science Program Manager at Microsoft in Redmond, WA","Base Salary$131K","Annual Bonus$41K","Signing Bonus$19K","EXPECTED $227K","You can learn valuable new skills like: Hadoop, Data Mining, Information Retrieval, ETL, Management, Data Science and more.","Jobs in Redmond, WA"
48,"APPLY NOW Data Scientist- Consumer Insights at Facebook in Menlo Park, CA","Base Salary$133K","Annual Bonus$21K","Signing Bonus$42K","EXPECTED $198K","You can learn valuable new skills like: Hadoop, Data Mining, REST, Data Science, SQL, Strategy and more.","Jobs in Menlo Park, CA"
49,"APPLY NOW Lead Data Scientist at Target in Sunnyvale, CA","Base Salary$160K","Annual Bonus$13K","Signing Bonus$20K","EXPECTED $211K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, Machine Learning and more.","Jobs in Sunnyvale, CA"
50,"APPLY NOW Data Scientist at Dropbox in San Francisco, CA","Base Salary$137K","Annual Bonus$0","Signing Bonus$32K","EXPECTED $193K","You can learn valuable new skills like: Big Data, Python, Data Science, SQL, Analytics, and Statistics.","Jobs in San Francisco, CA"
51,"APPLY NOW   Data Visualization Scientist at Facebook in Menlo Park, CA","Base Salary$141K","Annual Bonus$22K","Signing Bonus$42K","EXPECTED   $226K","You can learn valuable new skills like: ETL, Analytics, and Business Intelligence.","Jobs in Menlo Park, CA"
52,"APPLY NOW   Data Scientist at Facebook in Menlo Park, CA","Base Salary$141K","Annual Bonus$22K","Signing Bonus$42K","EXPECTED   $226K","You can learn valuable new skills like: ETL, Python, Data Science, SQL, Analytics, and Search.","Jobs in Menlo Park, CA"
53,"APPLY NOW   Software Engineer II- Data Science at Microsoft in Redmond, WA","Base Salary$147K","Annual Bonus$34K","Signing Bonus$19K","EXPECTED   $230K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, ETL, Windows, Data Science and more.","Jobs in Redmond, WA"
54,"APPLY NOW   Data Scientist II at Microsoft in Redmond, WA","Base Salary$147K","Annual Bonus$37K","Signing Bonus$19K","EXPECTED   $217K","You can learn valuable new skills like: Machine Learning, C++, Python, Scala, Deep Learning, Data Science and more.","Jobs in Redmond, WA"
55,"APPLY NOW   DATA SCIENTIST II at Microsoft in Bellevue, WA","Base Salary$146K","Annual Bonus$40K","Signing Bonus$19K","EXPECTED   $209K","You can learn valuable new skills like: Data Mining, C++, Windows, User Experience, Data Science, SQL and more.","Jobs in Bellevue, WA"
56,"APPLY NOW   Data Scientist at Dropbox in San Francisco, CA","Base Salary$137K","Annual Bonus$0","Signing Bonus$32K","EXPECTED   $193K","You can learn valuable new skills like: Big Data, Data Science, SQL, Analytics, and Statistics.","Jobs in San Francisco, CA"
57,"APPLY NOW   Principal Data Scientist at RichRelevance in San Francisco, CA","Base Salary$166K","Annual Bonus$0","Signing Bonus$18K","EXPECTED   $206K","You can learn valuable new skills like: Algorithms, Machine Learning, User Experience, Data Science, Analytics, Leadership and more.","Jobs in San Francisco, CA"
58,"APPLY NOW   Senior Software Engineer - Data Infrastructure at Rocket Fuel in Redwood City, CA","Base Salary$145K","Annual Bonus$20K","Signing Bonus$19K","EXPECTED   $195K","You can learn valuable new skills like: Hadoop, Software Design, Big Data, Algorithms, Machine Learning, C++ and more.","Jobs in Redwood City, CA"
59,"APPLY NOW   Senior Software Engineer - Data Infrastructure at Rocket Fuel in Redwood City, CA","Base Salary$145K","Annual Bonus$20K","Signing Bonus$19K","EXPECTED   $195K","You can learn valuable new skills like: Hadoop, Software Design, Big Data, Algorithms, Machine Learning, C++ and more.","Jobs in Redwood City, CA"
60,"APPLY NOW   Principal Distinguished Data Scientist at Ancestry in San Francisco, CA","Base Salary$146K","Annual Bonus$24K","Signing Bonus$16K","EXPECTED   $193K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, MapReduce and more.","Jobs in San Francisco, CA"
61,"APPLY NOW   Data Science Manager: Anomaly Detection and Forecasting Platform at Uber in San Francisco, CA","Base Salary$125K","Annual Bonus$15K","Signing Bonus$0","EXPECTED   $277K","You can learn valuable new skills like: Algorithms, Machine Learning, Data Science, and Go.","Jobs in San Francisco, CA"
62,"APPLY NOW   Data Science Manager - Seattle at Uber in Seattle, WA","Base Salary$125K","Annual Bonus$15K","Signing Bonus$0","EXPECTED   $277K","You can learn valuable new skills like: Machine Learning, Management, Python, Data Science, SQL, and Go.","Jobs in Seattle, WA"
63,"APPLY NOW   Senior Data Scientist at Microsoft in Redmond, WA","Base Salary$161K","Annual Bonus$40K","Signing Bonus$19K","EXPECTED   $230K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Machine Learning, Python and more.","Jobs in Redmond, WA"
64,"APPLY NOW   Manager, Data Science at Amazon in Cambridge, MA","Base Salary$146K","Annual Bonus$20K","Signing Bonus$31K","EXPECTED   $210K","You can learn valuable new skills like: Algorithms, Machine Learning, Management, Data Science, Signal Processing, and Mathematics.","Jobs in Cambridge, MA"
65,"APPLY NOW   Data Scientist at Microsoft in Redmond, WA","Base Salary$147K","Annual Bonus$37K","Signing Bonus$19K","EXPECTED   $217K","You can learn valuable new skills like: Hadoop, Big Data, Machine Learning, Data Science, and Statistics.","Jobs in Redmond, WA"
66,"APPLY NOW   Lead Data Scientist at Target in Sunnyvale, CA","Base Salary$160K","Annual Bonus$13K","Signing Bonus$20K","EXPECTED   $211K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, Machine Learning and more.","Jobs in Sunnyvale, CA"
67,"APPLY NOW   Senior Data Scientist at Amazon in Seattle, WA","Base Salary$138K","Annual Bonus$24K","Signing Bonus$39K","EXPECTED   $186K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Algorithms, MapReduce, Machine Learning and more.","Jobs in Seattle, WA"
68,"APPLY NOW   Senior Data Scientist at Amazon in Seattle, WA","Base Salary$138K","Annual Bonus$24K","Signing Bonus$39K","EXPECTED   $186K","You can learn valuable new skills like: Distributed Systems, Algorithms, Machine Learning, Computer Vision, C++, Python and more.","Jobs in Seattle, WA"
69,"APPLY NOW   Senior Principal Data Scientist at Symantec in Mountain View, CA","Base Salary$164K","Annual Bonus$0","Signing Bonus$20K","EXPECTED   $187K","You can learn valuable new skills like: Hadoop, Machine Learning, Python, Data Science, Analytics, and Statistics.","Jobs in Mountain View, CA"
70,"APPLY NOW   Sr. Data Scientist, Amazon Fresh at Amazon in Seattle, WA","Base Salary$137K","Annual Bonus$0","Signing Bonus$39K","EXPECTED   $159K","You can learn valuable new skills like: Data Mining, Algorithms, Machine Learning, C++, Python, Matlab and more.","Jobs in Seattle, WA"
71,"APPLY NOW   DATA SCIENCE MANAGER - GLOBAL GROWTH at Uber in San Francisco, CA","Base Salary$126K","Annual Bonus$15K","Signing Bonus$0","EXPECTED   $278K","You can learn valuable new skills like: Data Science, SQL, and Go.","Jobs in San Francisco, CA"
72,"APPLY NOW   Senior Product Designer, Data Science Group at Uber in San Francisco, CA","Base Salary$147K","Annual Bonus$16K","Signing Bonus$0","EXPECTED   $256K","You can learn valuable new skills like: Machine Learning, User Experience, and Data Science.","Jobs in San Francisco, CA"
73,"APPLY NOW   Principal Data Scientist at WalmartLabs in San Bruno, CA","Base Salary$169K","Annual Bonus$36K","Signing Bonus$19K","EXPECTED   $231K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, Machine Learning and more.","Jobs in San Bruno, CA"
74,"APPLY NOW   Senior Software Engineer, Data Infrastructure at Rocket Fuel in Redwood City, CA","Base Salary$146K","Annual Bonus$20K","Signing Bonus$19K","EXPECTED   $209K","You can learn valuable new skills like: Distributed Systems, Hadoop, Optimization, Big Data, Architectures, MapReduce and more.","Jobs in Redwood City, CA"
75,"APPLY NOW   Senior Data Scientist - Payment Products at Amazon in Seattle, WA","Base Salary$138K","Annual Bonus$24K","Signing Bonus$39K","EXPECTED   $186K","You can learn valuable new skills like: Data Mining, Machine Learning, Management, Python, Data Science, SQL and more.","Jobs in Seattle, WA"
76,"APPLY NOW   Sr. Data Scientist, Retail Selection at Amazon in Seattle, WA","Base Salary$138K","Annual Bonus$24K","Signing Bonus$39K","EXPECTED   $186K","You can learn valuable new skills like: Big Data, ETL, Relational Databases, Data Science, SQL, Analytics and more.","Jobs in Seattle, WA"
77,"APPLY NOW   Senior Data Scientist -Universal... at Apple in Cupertino, CA","Base Salary$150K","Annual Bonus$21K","Signing Bonus$30K","EXPECTED   $192K","You can learn valuable new skills like: Algorithms, Machine Learning, Data Science, Cassandra, Java, Databases and more.","Jobs in Cupertino, CA"
78,"APPLY NOW   Sr. Data Scientist, Advertising Analytics at Amazon in Seattle, WA","Base Salary$125K","Annual Bonus$24K","Signing Bonus$39K","EXPECTED   $176K","You can learn valuable new skills like: Big Data, Algorithms, Machine Learning, C++, Matlab, Data Science and more.","Jobs in Seattle, WA"
79,"APPLY NOW   Senior Software Engineer - Data... at Rocket Fuel in Seattle, WA","Base Salary$140K","Annual Bonus$20K","Signing Bonus$19K","EXPECTED   $190K","You can learn valuable new skills like: Hadoop, Software Design, Big Data, Algorithms, Machine Learning, C++ and more.","Jobs in Seattle, WA"
80,"APPLY NOW   Principal Data Scientist at Move, Inc. in Santa Clara, CA","Base Salary$160K","Annual Bonus$0","Signing Bonus$17K","EXPECTED   $160K","You can learn valuable new skills like: Product Management, Machine Learning, Data Science, Analytics, Statistics, and Leadership.","Jobs in Santa Clara, CA"
81,"APPLY NOW   Data Scientist, Auction & Delivery at Facebook in Menlo Park, CA","Base Salary$141K","Annual Bonus$22K","Signing Bonus$42K","EXPECTED   $226K","You can learn valuable new skills like: Optimization and Data Science.","Jobs in Menlo Park, CA"
82,"APPLY NOW   Senior Data Scientist at Microsoft in Redmond, WA","Base Salary$162K","Annual Bonus$40K","Signing Bonus$19K","EXPECTED   $248K","You can learn valuable new skills like: Machine Learning, Management, Data Science, and Scripting.","Jobs in Redmond, WA"
83,"APPLY NOW   Principal Data Scientist at WalmartLabs in San Bruno, CA","Base Salary$169K","Annual Bonus$36K","Signing Bonus$19K","EXPECTED   $231K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, Machine Learning and more.","Jobs in San Bruno, CA"
84,"APPLY NOW   Principal Data Scientist at WalmartLabs in San Bruno, CA","Base Salary$169K","Annual Bonus$36K","Signing Bonus$19K","EXPECTED   $231K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, Machine Learning and more.","Jobs in San Bruno, CA"
85,"APPLY NOW   Principal Data Scientist at TripAdvisor in Needham, MA","Base Salary$159K","Annual Bonus$23K","Signing Bonus$15K","EXPECTED   $229K","You can learn valuable new skills like: Optimization, Big Data, Algorithms, Machine Learning, ETL, Python and more.","Jobs in Needham, MA"
86,"APPLY NOW   Sr. Manager, Data Science at Electronic Arts in Redwood City, CA","Base Salary$162K","Annual Bonus$21K","Signing Bonus$17K","EXPECTED   $221K","You can learn valuable new skills like: Hadoop, Big Data, Algorithms, MapReduce, Machine Learning, C++ and more.","Jobs in Redwood City, CA"
87,"APPLY NOW   Data Scientist at Amazon in San Francisco, CA","Base Salary$125K","Annual Bonus$24K","Signing Bonus$38K","EXPECTED   $173K","You can learn valuable new skills like: Distributed Systems, Data Mining, Big Data, Machine Learning, C++, AWS and more.","Jobs in San Francisco, CA"
88,"APPLY NOW   Data Scientist at Cloudera in San Francisco, CA","Base Salary$133K","Annual Bonus$0","Signing Bonus$28K","EXPECTED   $183K","You can learn valuable new skills like: Hadoop, Machine Learning, REST, Python, Deep Learning, Apache Spark and more.","Jobs in San Francisco, CA"
89,"APPLY NOW   Staff Data Scientist at Chegg in Santa Clara, CA","Base Salary$139K","Annual Bonus$0","Signing Bonus$19K","EXPECTED   $171K","You can learn valuable new skills like: Hadoop, Information Retrieval, Big Data, Machine Learning, Python, Scala and more.","Jobs in Santa Clara, CA"
90,"APPLY NOW   Senior Software Engineer, Data at Square in San Francisco, CA","Base Salary$145K","Annual Bonus$0","Signing Bonus$25K","EXPECTED   $145K","You can learn valuable new skills like: Distributed Systems, Hadoop, Machine Learning, Ruby, Analytics, and Java.","Jobs in San Francisco, CA"
91,"APPLY NOW   Data Scientist - Uber for Business at Uber in San Francisco, CA","Base Salary$138K","Annual Bonus$16K","Signing Bonus$0","EXPECTED   $252K","You can learn valuable new skills like: Optimization, Python, Data Science, and SQL.","Jobs in San Francisco, CA"
92,"APPLY NOW   Director of Bidding & Data Science (Machine Learning) at Marin Software in San Francisco, CA","Base Salary$173K","Annual Bonus$0","Signing Bonus$20K","EXPECTED   $221K","You can learn valuable new skills like: Hadoop, Optimization, Machine Learning, Functional Programming, C++, Python and more.","Jobs in San Francisco, CA"
93,"APPLY NOW   Data Scientist II at Microsoft in Redmond, WA","Base Salary$146K","Annual Bonus$40K","Signing Bonus$19K","EXPECTED   $209K","You can learn valuable new skills like: Hadoop, Machine Learning, C++, Windows, Data Science, SQL and more.","Jobs in Redmond, WA"
94,"APPLY NOW   Senior Data Scientist, Text Mining at Groupon in Palo Alto, CA","Base Salary$147K","Annual Bonus$18K","Signing Bonus$26K","EXPECTED   $194K","You can learn valuable new skills like: Algorithms, Machine Learning, Management, Deep Learning, Data Science, Java and more.","Jobs in Palo Alto, CA"
95,"APPLY NOW   Data Scientist - Community Operations at Uber in San Francisco, CA","Base Salary$137K","Annual Bonus$16K","Signing Bonus$0","EXPECTED   $218K","You can learn valuable new skills like: Management, Python, Data Science, SQL, C, and Leadership.","Jobs in San Francisco, CA"
96,"APPLY NOW   Data Scientist II - Payment Products at Amazon in Seattle, WA","Base Salary$125K","Annual Bonus$24K","Signing Bonus$38K","EXPECTED   $173K","You can learn valuable new skills like: Data Mining, Big Data, Machine Learning, Python, Ruby, Data Science and more.","Jobs in Seattle, WA"
97,"APPLY NOW   Data Scientist at Salesforce in Bellevue, WA","Base Salary$132K","Annual Bonus$20K","Signing Bonus$27K","EXPECTED   $180K","You can learn valuable new skills like: Hadoop, Information Retrieval, Big Data, Machine Learning, Python, Mathematical Modeling and more.","Jobs in Bellevue, WA"
98,"APPLY NOW   People Data Analyst at Dropbox in San Francisco, CA","Base Salary$115K","Annual Bonus$0","Signing Bonus$30K","EXPECTED   $174K","You can learn valuable new skills like: Python, SQL, Analytics, and Leadership.","Jobs in San Francisco, CA"
99,"APPLY NOW   Sr. Data Science Engineer at Adobe in San Jose, CA","Base Salary$143K","Annual Bonus$16K","Signing Bonus$32K","EXPECTED   $159K","You can learn valuable new skills like: Product Management, Hadoop, Data Mining, Optimization, Big Data, Algorithms and more.","Jobs in San Jose, CA"
100,"APPLY NOW   Senior Software Development Engineer - Data Ingestion Standardization Services at Amazon in Seattle, WA","Base Salary$127K","Annual Bonus$0","Signing Bonus$35K","EXPECTED   $154K","You can learn valuable new skills like: Distributed Systems, Algorithms, and Java.","Jobs in Seattle, WA"
