ID,applyposition,Base,Annual,signing,expected,skillset,location
291,"APPLY NOW   Software Engineer - Applied Data Science at Lithium Technologies in San Francisco, CA","Base Salary$129K","Annual Bonus$20K","Signing Bonus$18K","EXPECTED   $172K","You can learn valuable new skills like: Hadoop, Data Mining, Algorithms, Machine Learning, C++, REST and more.","Jobs in San Francisco, CA"
292,"APPLY NOW   Data Scientist (Product) at Spotify in New York, NY","Base Salary$122K","Annual Bonus$0","Signing Bonus$11K","EXPECTED   $175K","You can learn valuable new skills like: Python, Data Science, SQL, Analytics, and Statistics.","Jobs in New York, NY"
293,"APPLY NOW   Senior Data Scientist at Lattice Engines in San Mateo, CA","Base Salary$132K","Annual Bonus$0","Signing Bonus$15K","EXPECTED   $169K","You can learn valuable new skills like: Hadoop, Data Mining, Algorithms, Machine Learning, C++, Python and more.","Jobs in San Mateo, CA"
294,"APPLY NOW   Data Scientist II at Amazon in Seattle, WA","Base Salary$124K","Annual Bonus$0","Signing Bonus$38K","EXPECTED   $146K","You can learn valuable new skills like: Data Mining, Python, Data Science, SQL, Statistics, and Business Intelligence.","Jobs in Seattle, WA"
295,"APPLY NOW   Data Scientist at Electronic Arts in Redwood City, CA","Base Salary$116K","Annual Bonus$21K","Signing Bonus$17K","EXPECTED   $152K","You can learn valuable new skills like: Hadoop, Big Data, Algorithms, MapReduce, Machine Learning, AWS and more.","Jobs in Redwood City, CA"
296,"APPLY NOW   Data Scientist at Adobe in San Jose, CA","Base Salary$130K","Annual Bonus$20K","Signing Bonus$15K","EXPECTED   $149K","You can learn valuable new skills like: Hadoop, Big Data, Data Science, Analytics, and Databases.","Jobs in San Jose, CA"
297,"APPLY NOW   Data Scientist at PlaceIQ in New York, NY","Base Salary$106K","Annual Bonus$13K","Signing Bonus$10K","EXPECTED   $142K","You can learn valuable new skills like: Hadoop, Data Mining, Algorithms, Machine Learning, Python, Data Science and more.","Jobs in New York, NY"
298,"APPLY NOW   Senior Data Scientist at TrueCar in Santa Monica, CA","Base Salary$135K","Annual Bonus$0","Signing Bonus$15K","EXPECTED   $135K","You can learn valuable new skills like: Data Science, Analytics, and Statistics.","Jobs in Santa Monica, CA"
299,"APPLY NOW   Senior Data Scientist at Verizon in Boston, MA","Base Salary$127K","Annual Bonus$0","Signing Bonus$23K","EXPECTED   $127K","You can learn valuable new skills like: Hadoop, Optimization, Machine Learning, C++, Matlab, Data Science and more.","Jobs in Boston, MA"
300,"APPLY NOW   Senior Data Scientist at Aetna in Boston, MA","Base Salary$112K","Annual Bonus$15K","Signing Bonus$14K","EXPECTED   $127K","You can learn valuable new skills like: Hadoop, Machine Learning, Management, Data Science, Analytics, Statistics and more.","Jobs in Boston, MA"
301,"APPLY NOW   Data Scientist, AWS Apps at Amazon in Palo Alto, CA","Base Salary$124K","Annual Bonus$0","Signing Bonus$38K","EXPECTED   $146K","You can learn valuable new skills like: Machine Learning, C++, Python, Data Science, Analytics, C and more.","Jobs in Palo Alto, CA"
302,"APPLY NOW   Data Scientist at Intuit in Mountain View, CA","Base Salary$118K","Annual Bonus$23K","Signing Bonus$16K","EXPECTED   $166K","You can learn valuable new skills like: Big Data, Algorithms, Data Science, Strategy, Databases, Statistics and more.","Jobs in Mountain View, CA"
303,"APPLY NOW   Principal Data Scientist at ADP in Parsippany, NJ","Base Salary$125K","Annual Bonus$18K","Signing Bonus$10K","EXPECTED   $163K","You can learn valuable new skills like: Product Management, Technical Leadership, Big Data, Machine Learning, Management, Data Science and more.","Jobs in Parsippany, NJ"
304,"APPLY NOW   Sr Staff Data Scientist at GE in San Ramon, CA","Base Salary$141K","Annual Bonus$16K","Signing Bonus$12K","EXPECTED   $158K","You can learn valuable new skills like: Optimization, Algorithms, Machine Learning, Data Science, Analytics, Statistics and more.","Jobs in San Ramon, CA"
305,"APPLY NOW   Data Scientist, Senior at YuMe in Redwood City, CA","Base Salary$129K","Annual Bonus$18K","Signing Bonus$13K","EXPECTED   $148K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Algorithms, Machine Learning, Matlab and more.","Jobs in Redwood City, CA"
306,"APPLY NOW   Data Scientist at Hulu in Santa Monica, CA","Base Salary$111K","Annual Bonus$23K","Signing Bonus$25K","EXPECTED   $134K","You can learn valuable new skills like: Data Mining, Optimization, Machine Learning, Ruby, Data Science, Strategy and more.","Jobs in Santa Monica, CA"
307,"APPLY NOW   Lead Data Scientist at Target in Minneapolis, MN","Base Salary$123K","Annual Bonus$6K","Signing Bonus$9K","EXPECTED   $146K","You can learn valuable new skills like: Hadoop, Big Data, Functional Programming, Python, Matlab, Scala and more.","Jobs in Minneapolis, MN"
308,"APPLY NOW   Principal, Data Scientist at Comcast in Philadelphia, PA","Base Salary$129K","Annual Bonus$15K","Signing Bonus$9K","EXPECTED   $144K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, Algorithms, MapReduce, Machine Learning and more.","Jobs in Philadelphia, PA"
309,"APPLY NOW   Principal, Data Scientist at Comcast in Philadelphia, PA","Base Salary$129K","Annual Bonus$15K","Signing Bonus$9K","EXPECTED   $144K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, Algorithms, MapReduce, Machine Learning and more.","Jobs in Philadelphia, PA"
310,"APPLY NOW   Data Scientist at Move, Inc. in Santa Clara, CA","Base Salary$118K","Annual Bonus$0","Signing Bonus$17K","EXPECTED   $118K","You can learn valuable new skills like: Machine Learning, Scala, User Experience, Data Science, Analytics, Statistics and more.","Jobs in Santa Clara, CA"
311,"APPLY NOW   Head of Data Science, Liquidity at First Republic Bank in San Francisco, CA","Base Salary$202K","Annual Bonus$0","Signing Bonus$22K","EXPECTED   $203K","You can learn valuable new skills like: Data Science, Analytics, and Statistics.","Jobs in San Francisco, CA"
312,"APPLY NOW   Senior Software Engineer - Data Services at Workday in Pleasanton, CA","Base Salary$119K","Annual Bonus$0","Signing Bonus$25K","EXPECTED   $159K","You can learn valuable new skills like: Architectures, Web Services, REST, Scala, Analytics, Enterprise Software and more.","Jobs in Pleasanton, CA"
313,"APPLY NOW   Head of Data Science at Provectus in Palo Alto, CA","Base Salary$137K","Annual Bonus$25K","Signing Bonus$10K","EXPECTED   $162K","You can learn valuable new skills like: Hadoop, Technical Leadership, Big Data, Algorithms, Machine Learning, Scala and more.","Jobs in Palo Alto, CA"
314,"APPLY NOW   Principal Data Scientist at Honeywell in Atlanta, GA","Base Salary$148K","Annual Bonus$0","Signing Bonus$16K","EXPECTED   $148K","You can learn valuable new skills like: Hadoop, Architectures, Machine Learning, Data Science, Strategy, Analytics and more.","Jobs in Atlanta, GA"
315,"APPLY NOW   Data Scientist at Akamai Technologies in Cambridge, MA","Base Salary$106K","Annual Bonus$17K","Signing Bonus$14K","EXPECTED   $144K","You can learn valuable new skills like: Big Data, REST, Management, Python, Matlab, Data Science and more.","Jobs in Cambridge, MA"
316,"APPLY NOW   Principal Data Scientist at Accenture in San Diego, CA","Base Salary$125K","Annual Bonus$23K","Signing Bonus$8K","EXPECTED   $147K","You can learn valuable new skills like: Hadoop, Data Mining, MapReduce, Machine Learning, C++, Management and more.","Jobs in San Diego, CA"
317,"APPLY NOW   Data Scientist I, Manufacturing Sciences at Biogen Idec in Cambridge, MA","Base Salary$108K","Annual Bonus$14K","Signing Bonus$13K","EXPECTED   $141K","You can learn valuable new skills like: Data Mining, Big Data, Algorithms, Machine Learning, Relational Databases, Deep Learning and more.","Jobs in Cambridge, MA"
